Sector,Average ROA,Average ROE,Average ROS,Average EBIT,Average EBITDA,Average EBIT Margin,Average EBITDA Margin,Average Gross Profit Margin,Average BEP,Average Revenue Growth,Average Net Income Growth,Average Interest Coverage Ratio,Average Total Assets Growth,Average Current Ratio,Average Quick Ratio,Average D/A Ratio,Average D/E Ratio,Average E/A Ratio,Average Inventory Turnover,Average Accounts Receivable Turnover,Average Working Capital Turnover,Average Total Asset Turnover
Bia và đồ uống,3.1138792018838486,10.98392452156521,-5.534135354602522,184277879792.9434,225228200639.59433,-6.982605041366572,-3.3532820802562284,14.23645857853664,3.613364981715751,6.956814554688716,-126.40611345425285,-212.21490189278956,0.9657989477637655,2.614318585696238,1.8259253091498466,36.621281435493025,33.710967020778924,63.378718564506975,36.0144122046832,28.322773355218793,29.289229155612965,1.5182883478785851
Bán lẻ,1.7941028113455075,6.89088222025578,-18.959170811581064,195454130016.09995,343304772627.1833,-22.55898118382819,-19.750326645481895,19.569181261239233,0.6068872059616587,14.130224083666429,324.23799429139626,-57.426963320046745,11.652662274406751,44.56114531976927,41.454645005404544,72.68970399373738,138.36144971569018,27.310296006262604,205.8302691301536,21.207459784341523,15.769274450519346,2.1565825866418558
Bảo hiểm nhân thọ,0.9647166327116142,8.45200337579559,4.861259863717197,,,,,-2.556639647598671,,3.779194202334565,8.31665837451319,,14.500965910695177,3.956085450921017,3.9514896718243024,88.56182961680047,796.5298073524392,11.438170383199529,319.92902534040104,3.913881614197974,0.4775154375007058,0.20270286146824787
Bảo hiểm phi nhân thọ,3.3034947692617656,10.367329097581512,9.16755813506861,,,,,14.787124545832517,,8.290318187469444,16.16758380764258,,7.874379535290952,1.2616776641998815,1.2609960045302155,68.93053749717491,240.68283710177468,31.069472670120714,7768.684303605533,4.198756994262791,3.0514975459394718,0.4639572538677788
Bất động sản,0.3684538962640239,2.3784496044255485,-102.1180287343891,514893999960.8756,784491145687.7343,-140.9453271183166,-136.0791676227527,39.553359743715504,0.2507491875177423,101.57406139308013,-395.4316266073125,10.926709863904229,17.761031708917194,3.47206435274809,2.7229053064054587,53.52471888031301,155.84219882670703,46.47531016459511,48.71274419407674,1.8281432912595004,3.50998233002146,0.21494698202603654
Công nghiệp nặng,2.7159468568959007,1.9826372814532094,-1.5800837181092018,227981258799.39655,264818380671.546,-6.258484049335808,-3.8777229677226046,9.977407480326788,1.0903174070138224,14.319672044094466,-211.16420902714137,-65.33496895950672,12.142557831946515,2.0582701726665253,1.5880338962919012,80.26031850913857,268.31666894562125,19.7248851560859,7.822519150239731,4.6692512802645805,-4.765958025084103,1.1207253257485166
Du lịch & Giải trí,1.1928998792341476,-24.04801939647891,-26.472400005580333,-204080073136.75342,-57610462688.73059,-33.963051406808475,-26.9148287608716,9.724273674172103,0.5824517754914625,85.24345554987657,161.78487780737828,24.251501799863735,7.038574444564844,4.279776982124113,4.11240547667834,58.06575449533651,145.3360266652279,41.93424550466349,819.7950690970268,7.341095553206086,2.8159060903683297,0.9481513756901548
Dược phẩm,5.809207304755337,9.042763774755707,6.156859772057414,75518638519.03433,96222074386.08154,6.149687531090698,9.015938278402299,25.184853956322247,6.137098373788782,19.733587463675313,20.285844307688546,-209.49889828766044,6.724264955060473,2.578655263344311,1.7759406025287272,42.163991357798956,142.99934385443157,57.836008642201044,30.88414675833225,6.17870116215519,8.175495668933701,1.02842209783142
Dịch vụ tài chính,3.0507217375456017,6.3279805445691775,4.120141369894548,211382266883.74258,244200120545.8614,0.2665186349884169,3.4164379058068803,42.483336195737685,2.6831291118998113,41.06030157170893,46.11570411388528,-38.1442190375482,42.669402125061296,16.916909566097267,2.9226904132639553,39.180766967656666,124.00217426245038,60.819234970554824,1034.4890367697155,26.152544189278377,0.3941003789451968,0.19191774845447532
Hàng cá nhân,2.186645029216967,6.845873618275524,-10.154316654685779,97233207552.56989,136893345920.43011,-14.610756192912223,-3.4177657436889226,16.609464567974115,2.680559787596944,6.561138144306858,-152.29251318668835,-534.9164051714105,5.644280887912772,4.028522690719635,3.149549190087805,103.91027109585553,153.46012386532746,-3.889859430380643,22.969139821815087,8.728303757013052,-8.982182067916098,1.1916878549093124
