Unnamed: 0,STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Quý,Năm,Trạng thái kiểm toán,,Doanh thu kế hoạch,Tổng lợi nhuận kế toán trước thuế,Lợi nhuận sau thuế thu nhập doanh nghiệp
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2020,Đã kiểm toán,,650820000000.00,51462500000.00,41170000000.00
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2021,Đã kiểm toán,,690136000000.00,41515000000.00,33212000000.00
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2022,Đã kiểm toán,,725279000000.00,45146000000.00,36116800000.00
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2023,Đã kiểm toán,,725279000000.00,45146000000.00,36116800000.00
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,,,,,725279000000.00,45146000000.00,36116800000.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2020,Chưa kiểm toán,,9000000000000.00,687500000000.00,550000000000.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2021,Chưa kiểm toán,,14100000000000.00,658750000000.00,527000000000.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2022,Chưa kiểm toán,,12500000000000.00,625000000000.00,500000000000.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2023,Đã kiểm toán,,12500000000000.00,625000000000.00,500000000000.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2024,Chưa kiểm toán,,12500000000000.00,625000000000.00,500000000000.00
5,3,AAH,Than Hợp Nhất,UPCoM,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than,5,2023,Đã kiểm toán,,1454050000000.00,138500000000.00,110800000000.00
5,3,AAH,Than Hợp Nhất,UPCoM,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than,5,2024,Chưa kiểm toán,,1454050000000.00,138500000000.00,110800000000.00
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2020,Chưa kiểm toán,,180000000000.00,0.00,0.00
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2021,Chưa kiểm toán,,160000000000.00,1000000000.00,800000000.00
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2022,Chưa kiểm toán,,180000000000.00,10000000000.00,8000000000.00
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2023,Đã kiểm toán,,180000000000.00,10000000000.00,8000000000.00
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2024,Chưa kiểm toán,,180000000000.00,10000000000.00,8000000000.00
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2020,Chưa kiểm toán,,553855476539.00,4805350851.00,3705335143.00
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2021,Chưa kiểm toán,,1200000000000.00,600000000000.00,480000000000.00
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2022,Chưa kiểm toán,,922787973496.00,105385061848.00,84603725432.00
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2023,Đã kiểm toán,,922787973496.00,105385061848.00,84603725432.00
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2024,Chưa kiểm toán,,922787973496.00,105385061848.00,84603725432.00
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2020,Đã kiểm toán,,500000000000.00,62500000000.00,50000000000.00
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Thực ,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2021,Đã kiểm toán,,800000000000.00,162500000000.00,130000000000.00
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2022,Đã kiểm toán,,600000000000.00,62500000000.00,50000000000.00
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2023,Đã kiểm toán,,600000000000.00,62500000000.00,50000000000.00
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2024,Chưa kiểm toán,,600000000000.00,62500000000.00,50000000000.00
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2020,Chưa kiểm toán,,560000000000.00,37500000000.00,30000000000.00
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2021,Chưa kiểm toán,,720000000000.00,23750000000.00,19000000000.00
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2022,Chưa kiểm toán,,500000000000.00,16250000000.00,13000000000.00
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2023,Đã kiểm toán,,500000000000.00,16250000000.00,13000000000.00
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2024,Chưa kiểm toán,,500000000000.00,16250000000.00,13000000000.00
5,8,ABA,Giải pháp Thương mại A BA,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải,5,2023,Đã kiểm toán,,,,
5,8,ABA,Giải pháp Thương mại A BA,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải,5,2024,Chưa kiểm toán,,,,
5,9,ABB,Ngân hàng An Bình,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,5,2020,Đã kiểm toán,,0.00,1973000000000.00,1578400000000.00
5,9,ABB,Ngân hàng An Bình,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,5,2021,Đã kiểm toán,,0.00,3079000000000.00,2463200000000.00
